uri	label	pageRank	influenced_out	influenced_in	influenced_total	almaMater_out	knownFor_out	notableWork_out	religion_out	ideology_out	field_in	almaMater_in	religion_in	ideology_in	fields	likely_religion_or_belief	likely_institution	likely_field_or_discipline	dbpedia_is_person	clean_label	sep_entry_citations	sep_raw_hits	sep_aliases	sep_matched_aliases	sep_example_entries	sep_citation_rank
<http://dbpedia.org/resource/Plato>	Plato	1.4249495232907323	158	17	175	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Plato	987	9189	Plato	Plato	https://plato.stanford.edu/entries/abduction/|https://plato.stanford.edu/entries/abortion/|https://plato.stanford.edu/entries/abrabanel/|https://plato.stanford.edu/entries/abu-bakr-al-razi/|https://plato.stanford.edu/entries/adaptationism/	1
<http://dbpedia.org/resource/Aristotle>	Aristotle	1.1263290019430177	193	12	205	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Aristotle	866	15938	Aristotle	Aristotle	https://plato.stanford.edu/entries/abelard/|https://plato.stanford.edu/entries/abner-burgos/|https://plato.stanford.edu/entries/abrabanel/|https://plato.stanford.edu/entries/abraham-daud/|https://plato.stanford.edu/entries/abu-bakr-al-razi/	2
<http://dbpedia.org/resource/Edward_N._Zalta>	Edward N. Zalta	0.6327621506596749	0	4	4	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Edward N. Zalta	461	1415	Edward N. Zalta|Zalta	Edward N. Zalta|Zalta	https://plato.stanford.edu/entries/abduction/|https://plato.stanford.edu/entries/abortion/|https://plato.stanford.edu/entries/action/|https://plato.stanford.edu/entries/adaptationism/|https://plato.stanford.edu/entries/aesthetic-judgment/	3
<http://dbpedia.org/resource/Socrates>	Socrates	0.6967961915639328	43	6	49	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Socrates	363	4767	Socrates	Socrates	https://plato.stanford.edu/entries/abelard/|https://plato.stanford.edu/entries/abstract-objects/|https://plato.stanford.edu/entries/abu-bakr-al-razi/|https://plato.stanford.edu/entries/addams-jane/|https://plato.stanford.edu/entries/african-sage/	4
<http://dbpedia.org/resource/Thomas_Aquinas>	Thomas Aquinas	0.3226054085627537	60	3	63	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Thomas Aquinas	219	2494	Thomas Aquinas|Aquinas	Aquinas|Thomas Aquinas	https://plato.stanford.edu/entries/abner-burgos/|https://plato.stanford.edu/entries/abraham-daud/|https://plato.stanford.edu/entries/action/|https://plato.stanford.edu/entries/aesthetic-experience/|https://plato.stanford.edu/entries/al-din-al-razi/	5
<http://dbpedia.org/resource/Bertrand_Russell>	Bertrand Russell	1.2645172094730188	91	25	116	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Bertrand Russell	215	4605	Bertrand Russell|Russell	Bertrand Russell|Russell	https://plato.stanford.edu/entries/abduction/|https://plato.stanford.edu/entries/african-ethics/|https://plato.stanford.edu/entries/alexander/|https://plato.stanford.edu/entries/algebra-logic-tradition/|https://plato.stanford.edu/entries/analysis/	6
<http://dbpedia.org/resource/David_Hume>	David Hume	0.6115692375422992	77	18	95	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	David Hume	207	4873	David Hume|Hume	David Hume|Hume	https://plato.stanford.edu/entries/aesthetic-experience/|https://plato.stanford.edu/entries/aesthetics-18th-british/|https://plato.stanford.edu/entries/aesthetics-18th-german/|https://plato.stanford.edu/entries/africana/|https://plato.stanford.edu/entries/altruism/	7
<http://dbpedia.org/resource/Immanuel_Kant>	Immanuel Kant	1.4502968450673055	200	21	221	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Immanuel Kant	178	9238	Immanuel Kant|Kant	Immanuel Kant|Kant	https://plato.stanford.edu/entries/aesthetic-experience/|https://plato.stanford.edu/entries/aesthetic-judgment/|https://plato.stanford.edu/entries/aesthetics-cogsci/|https://plato.stanford.edu/entries/aesthetics-of-everyday/|https://plato.stanford.edu/entries/africana/	8
<http://dbpedia.org/resource/David_Lewis_(philosopher)>	David Lewis (philosopher)	0.3077492795240596	12	5	17	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	David Lewis	178	345	David Lewis	David Lewis	https://plato.stanford.edu/entries/abstract-objects/|https://plato.stanford.edu/entries/ambiguity/|https://plato.stanford.edu/entries/analytic-synthetic/|https://plato.stanford.edu/entries/animal-communication/|https://plato.stanford.edu/entries/anomalous-monism/	9
<http://dbpedia.org/resource/Cicero>	Cicero	1.3365897217706024	16	15	31	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Cicero	168	1205	Cicero	Cicero	https://plato.stanford.edu/entries/abelard/|https://plato.stanford.edu/entries/abrabanel/|https://plato.stanford.edu/entries/alexander-aphrodisias/|https://plato.stanford.edu/entries/anaxagoras/|https://plato.stanford.edu/entries/antiochus-ascalon/	10
<http://dbpedia.org/resource/John_Locke>	John Locke	0.7828049084309873	50	14	64	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	John Locke	165	4405	John Locke|Locke	John Locke|Locke	https://plato.stanford.edu/entries/18thGerman-preKant/|https://plato.stanford.edu/entries/abstract-objects/|https://plato.stanford.edu/entries/africana-contemporary/|https://plato.stanford.edu/entries/alexander-crummell/|https://plato.stanford.edu/entries/alexander/	11
<http://dbpedia.org/resource/John_Stuart_Mill>	John Stuart Mill	0.6970653118084851	38	11	49	1	0	0	0	0	0	0	0	0	[]	False	False	False	True	John Stuart Mill	156	367	John Stuart Mill	John Stuart Mill	https://plato.stanford.edu/entries/akan-person/|https://plato.stanford.edu/entries/alienation/|https://plato.stanford.edu/entries/altruism-empirical/|https://plato.stanford.edu/entries/altruism/|https://plato.stanford.edu/entries/analysis/	12
<http://dbpedia.org/resource/Avicenna>	Avicenna	0.3742869858596982	14	3	17	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Avicenna	146	2828	Avicenna	Avicenna	https://plato.stanford.edu/entries/abner-burgos/|https://plato.stanford.edu/entries/abrabanel/|https://plato.stanford.edu/entries/abraham-daud/|https://plato.stanford.edu/entries/abu-bakr-al-razi/|https://plato.stanford.edu/entries/agrippa-nettesheim/	13
<http://dbpedia.org/resource/William_James>	William James	1.1035638937776884	53	24	77	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	William James	146	375	William James	William James	https://plato.stanford.edu/entries/addams-jane/|https://plato.stanford.edu/entries/africana/|https://plato.stanford.edu/entries/afterlife/|https://plato.stanford.edu/entries/agency/|https://plato.stanford.edu/entries/alain-locke/	14
<http://dbpedia.org/resource/Hypatia>	Hypatia	0.3600550234368504	2	5	7	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Hypatia	135	579	Hypatia	Hypatia	https://plato.stanford.edu/entries/18thGerman-preKant/|https://plato.stanford.edu/entries/aesthetics-of-everyday/|https://plato.stanford.edu/entries/africana-contemporary/|https://plato.stanford.edu/entries/africana/|https://plato.stanford.edu/entries/agency/	15
<http://dbpedia.org/resource/Plotinus>	Plotinus	0.8306133037197121	42	10	52	0	0	0	0	0	0	0	0	0	[]	False	False	False	True	Plotinus	131	916	Plotinus	Plotinus	https://plato.stanford.edu/entries/18thGerman-preKant/|https://plato.stanford.edu/entries/abrabanel/|https://plato.stanford.edu/entries/aesthetics-18th-british/|https://plato.stanford.edu/entries/agrippa-nettesheim/|https://plato.stanford.edu/entries/al-baghdadi/	16
