uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline,dbpedia_is_person
<http://dbpedia.org/resource/Vaklush_Tolev>,Vaklush Tolev,488.2483169206686,0,8,8,1,4,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Efrat_Lifshitz>,Efrat Lifshitz,187.06521709952847,0,0,0,2,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Chandan_Dasgupta>,Chandan Dasgupta,140.73919756981243,0,0,0,3,2,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/George_Bonanno>,George Bonanno,52.689799093013264,0,0,0,2,2,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Dusan_Krajcinovic>,Dusan Krajcinovic,45.53491523065444,0,0,0,1,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Timothy_M._P._Tait>,Timothy M. P. Tait,35.72828102127536,0,0,0,2,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Raymond_Cattell>,Raymond Cattell,35.09947836338896,0,0,0,1,3,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/James_Giles_(philosopher)>,James Giles (philosopher),29.54905893329654,0,5,5,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Hosahalli_Ramaswamy>,Hosahalli Ramaswamy,27.72173594089719,0,0,0,2,3,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Nalin_de_Silva>,Nalin de Silva,24.52502297962584,0,1,1,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Aykut_Barka>,Aykut Barka,21.161284456017093,0,0,0,1,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Amit_Chakrabarti>,Amit Chakrabarti,20.08805117289892,0,0,0,2,2,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/A._D._Gordon>,A. D. Gordon,16.229573724657886,1,2,3,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Venkatesh_K._R._Kodur>,Venkatesh K. R. Kodur,15.498878038752505,0,0,0,2,5,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Rachel_Bluwstein>,Rachel Bluwstein,13.94513757763774,0,1,1,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/C._R._Hagen>,C. R. Hagen,13.360151483253492,0,0,0,4,11,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Ettore_Gotti_Tedeschi>,Ettore Gotti Tedeschi,11.45485502739447,0,1,1,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Clarence_S._Clay_Jr.>,Clarence S. Clay Jr.,10.001868235236014,0,0,0,1,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Leo_Strauss>,Leo Strauss,5.1689187128513545,96,76,172,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Peter_Schönemann>,Peter Schönemann,5.122426101480103,0,0,0,0,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/John_Nesselroade>,John Nesselroade,5.122426101480103,0,0,0,0,2,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Heraclitus>,Heraclitus,5.086857419447741,30,4,34,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Joseph_de_Maistre>,Joseph de Maistre,4.383953901183031,41,49,90,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Robbie_Bonham>,Robbie Bonham,4.223518750000001,0,12,12,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Juan_Bautista_Alberdi>,Juan Bautista Alberdi,3.49815677635484,19,41,60,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Søren_Kierkegaard>,Søren Kierkegaard,3.3716670722087665,58,37,95,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Yaşar_Nuri_Öztürk>,Yaşar Nuri Öztürk,3.0894358951177363,4,22,26,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Thomas_Paine>,Thomas Paine,2.8394699553060665,20,10,30,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Christopher_Hitchens>,Christopher Hitchens,2.8022462894974653,5,26,31,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Caner_Taslaman>,Caner Taslaman,2.7719527666992394,0,9,9,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Gregorio_Baro>,Gregorio Baro,2.750799833048827,0,0,0,1,5,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Companions_of_the_Prophet>,Companions of the Prophet,2.667320075757576,0,0,0,0,0,0,1,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Jacques_Ellul>,Jacques Ellul,2.60707770187626,47,33,80,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Aleksandr_Dugin>,Aleksandr Dugin,2.5997681781085027,3,22,25,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Mookie_Tenembaum>,Mookie Tenembaum,2.4140922604422768,0,31,31,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Adolf_Hitler>,Adolf Hitler,2.4000578450114705,0,1,1,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Douglas_W._Owsley>,Douglas W. Owsley,2.378616957906112,2,5,7,2,4,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/John_Ruskin>,John Ruskin,2.360221737650483,36,21,57,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Ludwig_Wittgenstein>,Ludwig Wittgenstein,2.314558925021813,166,33,199,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Friedrich_Hayek>,Friedrich Hayek,2.203015888606888,54,31,85,0,0,0,0,0,0,0,0,0,"[Political science, Psychology, Jurisprudence]",False,False,False,True
<http://dbpedia.org/resource/Mário_Ferreira_dos_Santos>,Mário Ferreira dos Santos,2.197551248915698,3,47,50,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Muhammad>,Muhammad,2.19425,8,0,8,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Hossein_Elahi_Ghomshei>,Hossein Elahi Ghomshei,2.1209902386619515,0,18,18,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Sigmund_Freud>,Sigmund Freud,2.108550666211116,79,44,123,1,5,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Marshall_McLuhan>,Marshall McLuhan,2.0277754646946167,23,25,48,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Robert_Anton_Wilson>,Robert Anton Wilson,2.0216019771609397,2,24,26,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Friedrich_Nietzsche>,Friedrich Nietzsche,1.9889228214961727,109,28,137,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Gilles_Deleuze>,Gilles Deleuze,1.9812213589160683,45,42,87,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Solomon_Mikhlin>,Solomon Mikhlin,1.9323425296076664,0,0,0,1,3,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Charles_Darwin>,Charles Darwin,1.9083801317862896,66,23,89,0,3,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Arthur_Schopenhauer>,Arthur Schopenhauer,1.8891692367130684,73,24,97,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Karl_Marx>,Karl Marx,1.8824097440240537,222,31,253,0,0,0,0,0,0,1,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Philip_Paul>,Philip Paul,1.8445425214324185,0,0,0,0,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Gary_Peller>,Gary Peller,1.8338923487683396,0,3,3,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Andrzej_Grzegorczyk>,Andrzej Grzegorczyk,1.7806018470346672,2,20,22,2,13,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/August_Köhler>,August Köhler,1.7724809378309714,0,0,0,0,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Peter_Lamborn_Wilson>,Peter Lamborn Wilson,1.768980821741623,2,11,13,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Cornel_West>,Cornel West,1.7560499506277325,1,21,22,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Alan_Watts>,Alan Watts,1.7434408201550462,7,16,23,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Benjamin_Snyder>,Benjamin Snyder,1.700419354229524,0,0,0,0,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Slavoj_Žižek>,Slavoj Žižek,1.6999510281529742,21,28,49,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Reza_Negarestani>,Reza Negarestani,1.697159492830632,0,9,9,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Bob_Black>,Bob Black,1.693908265398553,4,27,31,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Alain_de_Benoist>,Alain de Benoist,1.68475944693002,2,22,24,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Origen>,Origen,1.683545537089556,23,18,41,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Abraham_Lincoln>,Abraham Lincoln,1.6766209172312896,0,2,2,0,0,0,0,0,1,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Li_Zhensheng_(geneticist)>,Li Zhensheng (geneticist),1.6650010416666663,0,1,1,1,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Murray_Rothbard>,Murray Rothbard,1.660923379328599,17,31,48,1,0,0,0,0,0,0,0,0,"[Economic history, History of economic thought, Legal philosophy, Praxeology]",False,False,False,True
<http://dbpedia.org/resource/Michel_Aflaq__1>,Michel Aflaq  1,1.6561713633357686,15,18,33,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Tommaso_Palamidessi>,Tommaso Palamidessi,1.6194113713553628,0,5,5,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Nikolai_Berdyaev>,Nikolai Berdyaev,1.5976664425483655,12,14,26,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Stanley_Cavell>,Stanley Cavell,1.5387188992512917,34,18,52,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Seyyed_Hossein_Nasr>,Seyyed Hossein Nasr,1.5383730373478812,39,17,56,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Baltasar_Gracián>,Baltasar Gracián,1.5347820753379886,2,5,7,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Jamgön_Ju_Mipham_Gyatso>,Jamgön Ju Mipham Gyatso,1.525024342021249,4,12,16,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Susan_Petrilli>,Susan Petrilli,1.5230228155728398,0,9,9,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Wincenty_Lutosławski>,Wincenty Lutosławski,1.5078240957701083,1,11,12,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Cornelius_Castoriadis>,Cornelius Castoriadis,1.4888773995205105,34,25,59,0,0,0,0,0,0,0,0,0,[],False,False,False,True
