uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline
<http://dbpedia.org/resource/Vaklush_Tolev>,Vaklush Tolev,488.2483169206686,0,8,8,1,4,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Islam>,Islam,302.1101623030823,1,0,1,0,0,0,0,0,1,0,2982,2,[],true,false,false
<http://dbpedia.org/resource/Christianity>,Christianity,224.0168980565371,1,0,1,0,0,0,0,0,0,0,2601,0,[],true,false,false
<http://dbpedia.org/resource/Princeton_University>,Princeton University,216.36254136330697,0,1,1,0,0,0,0,0,0,1636,0,0,[],false,true,false
<http://dbpedia.org/resource/Efrat_Lifshitz>,Efrat Lifshitz,187.06521709952852,0,0,0,2,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Chandan_Dasgupta>,Chandan Dasgupta,140.73919756981243,0,0,0,3,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Massachusetts_Institute_of_Technology>,Massachusetts Institute of Technology,105.18520076525844,0,1,1,0,0,0,0,0,0,1559,0,0,[],false,true,false
<http://dbpedia.org/resource/University_of_Pennsylvania>,University of Pennsylvania,102.83991490610629,0,1,1,0,0,0,0,0,0,1114,0,0,[],false,true,false
<http://dbpedia.org/resource/Buddhism>,Buddhism,86.02949294674097,3,0,3,0,0,0,0,0,0,0,964,1,[],true,false,false
<http://dbpedia.org/resource/George_Bonanno>,George Bonanno,52.689799093013264,0,0,0,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Photography>,Photography,48.07204802983275,0,1,1,0,0,0,0,0,497,0,0,0,[],false,false,true
<http://dbpedia.org/resource/Dusan_Krajcinovic>,Dusan Krajcinovic,45.53491523065444,0,0,0,1,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Dartmouth_College>,Dartmouth College,42.87676296351759,0,1,1,0,0,0,0,0,0,515,0,0,[],false,true,false
<http://dbpedia.org/resource/Judaism>,Judaism,37.65951218132221,2,0,2,0,0,0,0,0,0,0,531,0,[],true,false,false
<http://dbpedia.org/resource/Timothy_M._P._Tait>,Timothy M. P. Tait,35.72828102127536,0,0,0,2,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Raymond_Cattell>,Raymond Cattell,35.09947836338896,0,0,0,1,3,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/James_Giles_(philosopher)>,James Giles (philosopher),29.54905893329654,0,5,5,0,0,0,0,0,0,0,0,0,[],false,false,false
